doc-number,Caption,Committees,Sponsors,links
SB 366,"""Tax Expenditures Transparency Act of 2024""; enact
Status: 04/22/2024 - Senate Date Signed by Governor",House Committee:Ways & MeansSenate Committee:Finance,"Hufstetler, Chuck , 52ndTillery, Blake , 19thDolezal, Greg , 27thAlbers, John , 56thStill, Shawn , 48thPayne, Chuck , 54th",https://www.legis.ga.gov/legislation/66136
SB 367,"Elections; use of ballot drop boxes; eliminate authorization
Status: 01/23/2024 - Senate Read and Referred",Senate Committee:Ethics,"Williams, Rick , 25thPayne, Chuck , 54thStill, Shawn , 48thSetzler, Ed , 37thSummers, Carden , 13thGooch, Steve , 51st",https://www.legis.ga.gov/legislation/66134
SB 368,"Government Transparency and Campaign Finance; foreign nationals from contributing to candidates or campaign committees; prohibit
Status: 05/07/2024 - Senate Date Vetoed by Governor",House Committee:JudiciarySenate Committee:Ethics,"Williams, Rick , 25thBurns, Max , 23rdDolezal, Greg , 27thRobertson, Randy , 29thStrickland, Brian , 17thHickman, Billy , 4th",https://www.legis.ga.gov/legislation/66138
SB 369,"Motor Vehicles; issuance of license plates commemorating the United States of America's semiquincentennial; provide
Status: 04/23/2024 - Senate Date Signed by Governor",House Committee:Motor VehiclesSenate Committee:Public Safety,"Burns, Max , 23rdAlbers, John , 56thRobertson, Randy , 29thParent, Elena , 42ndSummers, Carden , 13thHickman, Billy , 4th",https://www.legis.ga.gov/legislation/66161
SB 370,"Human Trafficking Hotline Information; certain establishments to post human trafficking hotline information; require
Status: 04/24/2024 - Senate Date Signed by Governor",House Committee:Regulated IndustriesSenate Committee:Regulated Industries and Utilities,"Hodges, Mike , 3rdWatson, Ben , 1stAlbers, John , 56thHatchett, Bo , 50thKirkpatrick, Kay , 32nd",https://www.legis.ga.gov/legislation/66191
SB 371,"""Daniel D. Podsiadly, Jr. Act""; enact
Status: 03/20/2024 - House Committee Favorably Reported By Substitute",House Committee:Public Safety and Homeland SecuritySenate Committee:Judiciary,"Strickland, Brian , 17thJones, Emanuel , 10thRobertson, Randy , 29thButler, Gloria , 55thAlbers, John , 56thParent, Elena , 42nd",https://www.legis.ga.gov/legislation/66198
SB 372,"Sales and Use Taxes; certain goods designed and customarily used for child-rearing; exempt
Status: 01/23/2024 - Senate Read and Referred",Senate Committee:Finance,"Islam Parkes, Nabilah , 7thButler, Gloria , 55thJackson, Kim , 41stMallow, Derek , 2ndEsteves, Jason , 6thOrrock, Nan , 36th",https://www.legis.ga.gov/legislation/66200
SB 373,"Licensure in Marriage and Family Therapy; issuance of expedited licenses by endorsement for marriage and family therapists; provide
Status: 05/02/2024 - Senate Date Signed by Governor",House Committee:Regulated IndustriesSenate Committee:Regulated Industries and Utilities,"Walker, III, Larry , 20thAnavitarte, Jason , 31stKirkpatrick, Kay , 32ndStrickland, Brian , 17thHalpern, Sonya , 39thParent, Elena , 42nd",https://www.legis.ga.gov/legislation/66201
SB 374,"""Professional Engineers and Land Surveyors Act of 2021""; land surveyor interns and professional land surveyors; change provisions
Status: 03/21/2024 - House Reconsidered",House Committee:Regulated IndustriesSenate Committee:Regulated Industries and Utilities,"Walker, III, Larry , 20thStrickland, Brian , 17thGinn, Frank , 47thHalpern, Sonya , 39thAnavitarte, Jason , 31stAnderson, Lee , 24th",https://www.legis.ga.gov/legislation/66202
SB 375,"Behavioral Health Coordinating Council; add commissioner of veterans service
Status: 04/22/2024 - Senate Date Signed by Governor","House Committee:Public HealthSenate Committee:Veterans, Military, and Homeland Security","Strickland, Brian , 17thJackson, Kim , 41stKirkpatrick, Kay , 32ndWatson, Ben , 1stPayne, Chuck , 54th",https://www.legis.ga.gov/legislation/66203
SB 376,"Juvenile Code; improve timely permanent placement of a child removed from their home; clarify requirements
Status: 04/22/2024 - Senate Date Signed by Governor",House Committee:Juvenile JusticeSenate Committee:Children and Families,"Tillery, Blake , 19thKirkpatrick, Kay , 32ndBurns, Max , 23rdPayne, Chuck , 54thStrickland, Brian , 17thAnavitarte, Jason , 31st",https://www.legis.ga.gov/legislation/66204
SB 377,"Courts and Social Services; licensing of qualified residential treatment programs; provide
Status: 04/19/2024 - Senate Date Signed by Governor",House Committee:Public HealthSenate Committee:Health and Human Services,"Tillery, Blake , 19thKirkpatrick, Kay , 32ndBurns, Max , 23rdPayne, Chuck , 54thStrickland, Brian , 17thAnderson, Lee , 24th",https://www.legis.ga.gov/legislation/66206
SB 378,"Trafficking of Persons; increased sentences for persons convicted of trafficking a minor or a developmentally disabled person for sexual servitude; provide
Status: 01/31/2024 - Senate Read Second Time",Senate Committee:Judiciary,"Harbin, Marty , 16thRobertson, Randy , 29thDolezal, Greg , 27thBurns, Max , 23rdGooch, Steve , 51stAnavitarte, Jason , 31st",https://www.legis.ga.gov/legislation/66245
SB 379,"""School Chaplains Act""; enact
Status: 02/26/2024 - Senate Read Second Time",Senate Committee:Government Oversight,"Harbin, Marty , 16thRobertson, Randy , 29thBurns, Max , 23rdAlbers, John , 56thSummers, Carden , 13thHufstetler, Chuck , 52nd",https://www.legis.ga.gov/legislation/66247
SB 380,"Motor Vehicle Liability Policies; uninsured motorist coverage; increase the minimum
Status: 01/24/2024 - Senate Read and Referred",Senate Committee:Insurance and Labor,"Harbin, Marty , 16thAlbers, John , 56thRobertson, Randy , 29thStrickland, Brian , 17thStill, Shawn , 48thAnavitarte, Jason , 31st",https://www.legis.ga.gov/legislation/66246
SB 381,"""Assuring Quality in Government Act""; enact
Status: 02/09/2024 - Senate Read Second Time",Senate Committee:Government Oversight,"Harbin, Marty , 16thRobertson, Randy , 29thStrickland, Brian , 17thStill, Shawn , 48thAnavitarte, Jason , 31stDixon, Clint , 45th",https://www.legis.ga.gov/legislation/66244
SB 382,"Gilmer County; board of elections and registration; create  
Status: 05/06/2024 - Senate Date Signed by Governor",House Committee:Intragovernmental CoordinationSenate Committee:State and Local Governmental Operations,"Gooch, Steve , 51st",https://www.legis.ga.gov/legislation/66250
SB 383,"Sales and Use Tax; special district mass transportation; requirements for intergovernmental agreements between counties; revise
Status: 02/26/2024 - Senate Read Second Time",Senate Committee:Finance,"Echols, Shelly , 49thHatchett, Bo , 50thHufstetler, Chuck , 52ndGooch, Steve , 51stGinn, Frank , 47thAnavitarte, Jason , 31st",https://www.legis.ga.gov/legislation/66264
SB 384,"Public Officers and Employees; development and administration of the State of Georgia as a Model Employer (GAME) Program; provide
Status: 05/02/2024 - Senate Date Signed by Governor",House Committee:Industry and LaborSenate Committee:Insurance and Labor,"Hickman, Billy , 4thAlbers, John , 56thBeach, Brandon , 21stHalpern, Sonya , 39thEsteves, Jason , 6th",https://www.legis.ga.gov/legislation/66275
SB 385,"Georgia Military College; legislative intent language regarding certain postsecondary study beyond the second year level; revise
Status: 03/13/2024 - House Committee Favorably Reported By Substitute","House Committee:Higher EducationSenate Committee:Veterans, Military, and Homeland Security","Williams, Rick , 25thPayne, Chuck , 54thBrass, Matt , 28thAnavitarte, Jason , 31stRobertson, Randy , 29thKennedy, John F. , 18th",https://www.legis.ga.gov/legislation/66277
SB 386,"State Government; regulation and taxation of sports betting in this state; authorize and provide
Status: 03/28/2024 - House Committee Favorably Reported By Substitute",House Committee:Higher EducationSenate Committee:Economic Development and Tourism,"Dixon, Clint , 45thHatchett, Bo , 50thButler, Gloria , 55thBeach, Brandon , 21stMallow, Derek , 2ndHickman, Billy , 4th",https://www.legis.ga.gov/legislation/66316
SB 387,"Identification Cards; certain applicants who are either homeless or in the legal custody of the Division of Family and Children Services do not require signatures; provide
Status: 04/23/2024 - Senate Date Signed by Governor",House Committee:Juvenile JusticeSenate Committee:Children and Families,"Kirkpatrick, Kay , 32ndHatchett, Bo , 50thPayne, Chuck , 54thRobertson, Randy , 29thJackson, Kim , 41stTillery, Blake , 19th",https://www.legis.ga.gov/legislation/66282
SB 388,"Cherokee County School District; full value exemption for senior and disabled residents; provide
Status: 02/19/2024 - Senate Date Signed by Governor",House Committee:Intragovernmental CoordinationSenate Committee:State and Local Governmental Operations,"Kirkpatrick, Kay , 32ndAlbers, John , 56thBeach, Brandon , 21st",https://www.legis.ga.gov/legislation/66299
SB 389,"Georgia National Guard; adjutant general to be the official sponsor of the state sponsored life insurance program; provide
Status: 04/24/2024 - Senate Date Signed by Governor",House Committee:InsuranceSenate Committee:Insurance and Labor,"Payne, Chuck , 54thKirkpatrick, Kay , 32ndHodges, Mike , 3rdAlbers, John , 56thHatchett, Bo , 50thHufstetler, Chuck , 52nd",https://www.legis.ga.gov/legislation/66298
SB 390,"To amend Titles 20, 36, 43, and 50, related to libraries, education, governmental entities, professions and business; acceptance and use of funds from the American Library Association prohibit under certain circumstances
Status: 03/05/2024 - House Second Readers",House Committee:Higher EducationSenate Committee:Government Oversight,"Walker, III, Larry , 20thDolezal, Greg , 27thSetzler, Ed , 37thWatson, Ben , 1stTillery, Blake , 19thGooch, Steve , 51st",https://www.legis.ga.gov/legislation/66273
SB 391,"Health, Local Government, and Property; regulations and protections of cemeteries and burial grounds; provide
Status: 02/26/2024 - Senate Read Second Time",Senate Committee:Judiciary,"Williams, Rick , 25thHatchett, Bo , 50thAnderson, Lee , 24thBurns, Max , 23rdGoodman, Russ , 8th",https://www.legis.ga.gov/legislation/66280
SB 392,"Elections; criminal offense of election interference with a deep fake and solicitation; establish
Status: 01/25/2024 - Senate Read and Referred",Senate Committee:Judiciary,"Albers, John , 56thBurns, Max , 23rdRobertson, Randy , 29thWilliams, Rick , 25thStrickland, Brian , 17thBeach, Brandon , 21st",https://www.legis.ga.gov/legislation/66300
SB 393,"County Boards of Health; requirements to qualify as a soil classifier to conduct soil investigations and prepare soil reports; change
Status: 02/08/2024 - Senate Read Second Time",Senate Committee:State and Local Governmental Operations,"Dixon, Clint , 45thWalker, III, Larry , 20thLucas, David , 26thSummers, Carden , 13th",https://www.legis.ga.gov/legislation/66301
SB 394,"""Restricting Explicit and Adult-designated Educational Resources (READER) Act""; enact
Status: 02/26/2024 - Senate Read Second Time",Senate Committee:Education and Youth,"Dixon, Clint , 45thAnavitarte, Jason , 31stRobertson, Randy , 29thKennedy, John F. , 18thHickman, Billy , 4thWilliams, Rick , 25th",https://www.legis.ga.gov/legislation/66311
SB 395,"Education; the possession of opioid antagonists in schools; authorize 
Status: 04/23/2024 - Senate Date Signed by Governor",House Committee:EducationSenate Committee:Education and Youth,"Dixon, Clint , 45thWatson, Sam , 11thWalker, III, Larry , 20thStrickland, Brian , 17thHalpern, Sonya , 39th",https://www.legis.ga.gov/legislation/66312
SB 396,"Economic Development; Georgia State-wide Music Office; create
Status: 02/29/2024 - Senate Tabled",Senate Committee:Economic Development and Tourism,"Halpern, Sonya , 39thButler, Gloria , 55thBeach, Brandon , 21stGoodman, Russ , 8thBrass, Matt , 28thOrrock, Nan , 36th",https://www.legis.ga.gov/legislation/66313
SB 397,"City of Locust Grove; corporate limits of such city; change
Status: 03/19/2024 - Senate Date Signed by Governor",House Committee:Intragovernmental CoordinationSenate Committee:State and Local Governmental Operations,"Williams, Rick , 25thStrickland, Brian , 17thJones, Emanuel , 10th",https://www.legis.ga.gov/legislation/66323
SB 398,"Georgia Joint Defense Commission; commission's operations; revise
Status: 04/24/2024 - Senate Date Signed by Governor","House Committee:Defense & Veterans AffairsSenate Committee:Veterans, Military, and Homeland Security","Kirkpatrick, Kay , 32ndRobertson, Randy , 29thWalker, III, Larry , 20thWatson, Ben , 1stAnderson, Lee , 24thPayne, Chuck , 54th",https://www.legis.ga.gov/legislation/66341
SB 399,"Board of Regents of the University System of Georgia; to enter into and amend existing agreements with the State Board of the Technical College System of Georgia; encourage and state expectations
Status: 05/02/2024 - Senate Date Signed by Governor",House Committee:Higher EducationSenate Committee:Higher Education,"Echols, Shelly , 49thAlbers, John , 56thWalker, III, Larry , 20thEsteves, Jason , 6thHickman, Billy , 4thHalpern, Sonya , 39th",https://www.legis.ga.gov/legislation/66321
SB 400,"Special License Plates; supporting the advocacy and promotion of strict interpretation of the United States Constitution with a portion of funds collected; establish
Status: 02/09/2024 - Senate Read Second Time",Senate Committee:Public Safety,"Still, Shawn , 48thAnderson, Lee , 24thSummers, Carden , 13thHarbin, Marty , 16thKirkpatrick, Kay , 32ndWilliams, Rick , 25th",https://www.legis.ga.gov/legislation/66347
SB 401,"Senate Foster Care and Adoption Study Committee; implement recommendations
Status: 04/23/2024 - Senate Date Signed by Governor",House Committee:Juvenile JusticeSenate Committee:Children and Families,"Kirkpatrick, Kay , 32ndPayne, Chuck , 54thKennedy, John F. , 18thJackson, Kim , 41stRobertson, Randy , 29thBrass, Matt , 28th",https://www.legis.ga.gov/legislation/66342
SB 402,"Instruction Permits; restrictions upon the operation of Class C motor vehicles by Class D license holders with certain passengers in the vehicle; revise
Status: 03/26/2024 - House Passed/Adopted By Substitute",House Committee:Motor VehiclesSenate Committee:Public Safety,"Ginn, Frank , 47thAlbers, John , 56thSummers, Carden , 13thWilliams, Rick , 25thGoodman, Russ , 8thJones II, Harold , 22nd",https://www.legis.ga.gov/legislation/66340
SB 403,"Ad Valorem Taxation of Property; language required to be included in the notices of current assessment; revise
Status: 02/29/2024 - Senate Tabled",Senate Committee:Finance,"Ginn, Frank , 47thDixon, Clint , 45thEchols, Shelly , 49thHufstetler, Chuck , 52ndWalker, III, Larry , 20thParent, Elena , 42nd",https://www.legis.ga.gov/legislation/66346
SB 404,"Individual Tax Rates; reduction of the state income tax over time; revise provisions
Status: 01/26/2024 - Senate Read and Referred",Senate Committee:Finance,"Moore, Colton , 53rdBeach, Brandon , 21st",https://www.legis.ga.gov/legislation/66377
SB 405,"""Completion Special Schools Act""; certain students to be enrolled in a completion special school; lower the age of eligibility
Status: 02/08/2024 - House Second Readers",House Committee:EducationSenate Committee:Education and Youth,"Dixon, Clint , 45thGooch, Steve , 51stHickman, Billy , 4thKennedy, John F. , 18thStill, Shawn , 48thAnavitarte, Jason , 31st",https://www.legis.ga.gov/legislation/66379
SB 406,"First Responder Building Mapping Information System; grant program to fund the creation of school mapping data; establish
Status: 03/20/2024 - House Committee Favorably Reported By Substitute",House Committee:Public Safety and Homeland SecuritySenate Committee:Public Safety,"Dixon, Clint , 45thRobertson, Randy , 29thAnavitarte, Jason , 31stBrass, Matt , 28thAlbers, John , 56thHarbin, Marty , 16th",https://www.legis.ga.gov/legislation/66380
SB 407,"Law Enforcement Officers and Agencies; documenting of certain information in incidents of family violence; require
Status: 03/26/2024 - House Withdrawn, Recommitted",House Committee:Judiciary Non-CivilSenate Committee:Judiciary,"James, Donzella , 35thRhett, Michael 'Doc' , 33rd",https://www.legis.ga.gov/legislation/66382
SB 408,"Public Water Systems; Board of Natural Resources' authority to require the regulation of fluoridation of potable public water supplies; remove
Status: 01/26/2024 - Senate Read and Referred",Senate Committee:Natural Resources and the Environment,"Brass, Matt , 28th",https://www.legis.ga.gov/legislation/66385
SB 409,"""Bridging the Gap for ALS and Chronic Kidney Disease Act of 2024""; enact
Status: 01/29/2024 - Senate Read and Referred",Senate Committee:Insurance and Labor,"Albers, John , 56thRobertson, Randy , 29thHarbison, Ed , 15th",https://www.legis.ga.gov/legislation/66396
SB 410,"Licensing of Veterinarians; certain sterilization services performed by out-of-state veterinarians from licensing requirements; exempt
Status: 04/23/2024 - Senate Date Signed by Governor",House Committee:Agriculture & Consumer AffairsSenate Committee:Regulated Industries and Utilities,"Kirkpatrick, Kay , 32ndWalker, III, Larry , 20thRobertson, Randy , 29thPayne, Chuck , 54thAnavitarte, Jason , 31stGooch, Steve , 51st",https://www.legis.ga.gov/legislation/66397
SB 411,"Elections; preferential treatment during advance voting to voters accompanied by children five years of age or under; provide
Status: 02/08/2024 - Senate Read Second Time",Senate Committee:Ethics,"Williams, Rick , 25thBurns, Max , 23rdAnderson, Lee , 24thGoodman, Russ , 8thHarbin, Marty , 16th",https://www.legis.ga.gov/legislation/66407
SB 412,"Professions and Businesses; administrative and civil sanctions against charitable organizations, paid solicitors, and solicitor agents for certain violations; change provisions
Status: 05/06/2024 - Senate Date Signed by Governor",House Committee:Regulated IndustriesSenate Committee:Regulated Industries and Utilities,"Kennedy, John F. , 18thCowsert, Bill , 46thSummers, Carden , 13thHarbison, Ed , 15thRhett, Michael 'Doc' , 33rd",https://www.legis.ga.gov/legislation/66429
SB 413,"Elections; provisions relating to dates for certain special elections related to sales and use taxes; revise
Status: 02/20/2024 - Senate Read Second Time",Senate Committee:Ethics,"Robertson, Randy , 29thDolezal, Greg , 27thSummers, Carden , 13thHarbin, Marty , 16thPayne, Chuck , 54thHufstetler, Chuck , 52nd",https://www.legis.ga.gov/legislation/66436
SB 414,"""Personal Privacy Protection Act""; enact
Status: 05/06/2024 - Senate Date Signed by Governor",House Committee:JudiciarySenate Committee:Judiciary,"Kennedy, John F. , 18thGooch, Steve , 51stRobertson, Randy , 29thAnavitarte, Jason , 31stAlbers, John , 56thPayne, Chuck , 54th",https://www.legis.ga.gov/legislation/66439
SB 415,"""Police Registration Oversight for Tracking Enforcement and Capture Technology (PROTECT) Act""; enact
Status: 01/30/2024 - Senate Read and Referred",Senate Committee:Judiciary,"Robertson, Randy , 29thPayne, Chuck , 54th",https://www.legis.ga.gov/legislation/66435
SB 416,"Racketeering; prosecution when the charging instrument alleges violation of certain offenses; prohibit
Status: 01/30/2024 - Senate Read and Referred",Senate Committee:Judiciary,"Moore, Colton , 53rdBeach, Brandon , 21st",https://www.legis.ga.gov/legislation/66438
SB 417,"Reporting of Accidents; timing and documentation of such reports; provide
Status: 05/06/2024 - Senate Date Signed by Governor",House Committee:Public Safety and Homeland SecuritySenate Committee:Public Safety,"Albers, John , 56thRobertson, Randy , 29thBurns, Max , 23rdHufstetler, Chuck , 52ndStill, Shawn , 48thHickman, Billy , 4th",https://www.legis.ga.gov/legislation/66437
SB 418,"Georgia Peace Officer Standards and Training Council; basic and in-service training courses on animal fighting and recognition of animal abuse; establish
Status: 02/20/2024 - Senate Read Second Time",Senate Committee:Public Safety,"Williams, Rick , 25thAnderson, Lee , 24thAlbers, John , 56thRobertson, Randy , 29thJackson, Kim , 41stJones II, Harold , 22nd",https://www.legis.ga.gov/legislation/66457
SB 419,"Nurses; provision relating to the administration of anesthesia by certified registered nurse anesthetists; revise
Status: 01/30/2024 - Senate Read and Referred",Senate Committee:Health and Human Services,"Walker, III, Larry , 20thHatchett, Bo , 50thGooch, Steve , 51stEsteves, Jason , 6thHodges, Mike , 3rdBrass, Matt , 28th",https://www.legis.ga.gov/legislation/66458
SB 420,"Agriculture; acquisition of possessory interest in certain land by certain foreign persons and entities; prohibit
Status: 04/30/2024 - Senate Date Signed by Governor",House Committee:JudiciarySenate Committee:Regulated Industries and Utilities,"Anavitarte, Jason , 31stGoodman, Russ , 8thBeach, Brandon , 21stCowsert, Bill , 46thGooch, Steve , 51stKennedy, John F. , 18th",https://www.legis.ga.gov/legislation/66460
SB 421,"Obstruction of Public Administration; offense of transmitting a false public alarm; enhance penalties
Status: 05/01/2024 - Senate Date Signed by Governor",House Committee:Judiciary Non-CivilSenate Committee:Judiciary,"Dixon, Clint , 45thAlbers, John , 56thKirkpatrick, Kay , 32ndRobertson, Randy , 29thJackson, Kim , 41stSetzler, Ed , 37th",https://www.legis.ga.gov/legislation/66477
SB 422,"Public Utilities and Public Transportation; percentage limitation as to the amount of the investments an electric membership corporation may make; modify
Status: 05/06/2024 - Senate Date Signed by Governor","House Committee:Energy, Utilities & TelecommunicationsSenate Committee:Regulated Industries and Utilities","Dixon, Clint , 45thGooch, Steve , 51stSummers, Carden , 13thKirkpatrick, Kay , 32ndEsteves, Jason , 6thAlbers, John , 56th",https://www.legis.ga.gov/legislation/66472
SB 423,"Education; maintenance and placement of one or more automated external defibrillators in certain public schools; provide
Status: 02/26/2024 - Senate Read Second Time",Senate Committee:Education and Youth,"Halpern, Sonya , 39thJackson, Kim , 41stJones II, Harold , 22ndDixon, Clint , 45thButler, Gloria , 55thOrrock, Nan , 36th",https://www.legis.ga.gov/legislation/66491
SB 424,"West Georgia Judicial Circuit; create
Status: 05/06/2024 - Senate Date Signed by Governor",House Committee:JudiciarySenate Committee:Judiciary,"Robertson, Randy , 29thBrass, Matt , 28th",https://www.legis.ga.gov/legislation/66493
SB 425,"Notaries Public; modernization of certain legal, notarial, and court services using electronic means; provide
Status: 03/26/2024 - House Committee Favorably Reported By Substitute",House Committee:JudiciarySenate Committee:Judiciary,"Tillery, Blake , 19thAlbers, John , 56thGooch, Steve , 51stSummers, Carden , 13thAnderson, Lee , 24th",https://www.legis.ga.gov/legislation/66496
SB 426,"Motor Vehicles and Traffic; requirements for joining of a motor carrier and motor carrier's insurer to a cause of action; revise
Status: 05/06/2024 - Senate Date Signed by Governor",House Committee:JudiciarySenate Committee:Judiciary,"Tillery, Blake , 19thSetzler, Ed , 37thBurns, Max , 23rdWalker, III, Larry , 20thAlbers, John , 56thKennedy, John F. , 18th",https://www.legis.ga.gov/legislation/66498
SB 427,"Commerce and Trade; disclosure requirements for advertisements for legal services and for drugs; provide
Status: 02/27/2024 - House Second Readers",House Committee:Small Business DevelopmentSenate Committee:Judiciary,"Tillery, Blake , 19thSetzler, Ed , 37thBurns, Max , 23rd",https://www.legis.ga.gov/legislation/66502
SB 428,"Torts; a cap on damages recoverable against foster parents in personal injury actions involving the use of a motor vehicle by a child; provide
Status: 01/31/2024 - Senate Read and Referred",Senate Committee:Judiciary,"Tillery, Blake , 19thGinn, Frank , 47thSetzler, Ed , 37thHufstetler, Chuck , 52ndBurns, Max , 23rdAlbers, John , 56th",https://www.legis.ga.gov/legislation/66501
SB 429,"""Small Business Protection Act of 2024""; enact
Status: 03/28/2024 - Senate Agreed House Amend or Sub As Amended",House Committee:Budget and Fiscal Affairs OversightSenate Committee:Regulated Industries and Utilities,"Dolezal, Greg , 27thGooch, Steve , 51stKennedy, John F. , 18thRobertson, Randy , 29thAnavitarte, Jason , 31stAlbers, John , 56th",https://www.legis.ga.gov/legislation/66503
SB 430,"COVID-19 Pandemic Business Safety; provisions for rebuttable presumptions of risk by claimants in certain COVID-19 liability claims; revise
Status: 04/22/2024 - Senate Date Signed by Governor",House Committee:JudiciarySenate Committee:Economic Development and Tourism,"Dolezal, Greg , 27thWatson, Ben , 1stGooch, Steve , 51stRobertson, Randy , 29thGinn, Frank , 47thAnavitarte, Jason , 31st",https://www.legis.ga.gov/legislation/66506
SB 431,"Civil Practice Act; certain factors from consideration in discovery determinations; remove
Status: 01/31/2024 - Senate Read and Referred",Senate Committee:Regulated Industries and Utilities,"Tillery, Blake , 19thGinn, Frank , 47thHufstetler, Chuck , 52ndBurns, Max , 23rdAnderson, Lee , 24thWatson, Sam , 11th",https://www.legis.ga.gov/legislation/66504
SB 432,"""Quality Basic Education Act""; provisions; recess for students in kindergarten and grades one through eight; require
Status: 02/26/2024 - Senate Read Second Time",Senate Committee:Education and Youth,"Harrell, Sally , 40thDixon, Clint , 45th",https://www.legis.ga.gov/legislation/66509
SB 433,"Nonprofit Corporations; enact ""Donor Intent Protection Act""; provide definitions; charitable organizations from violating the terms of charitable contributions; prohibit
Status: 04/22/2024 - Senate Date Signed by Governor",House Committee:JudiciarySenate Committee:Regulated Industries and Utilities,"Cowsert, Bill , 46thKennedy, John F. , 18thGooch, Steve , 51stRobertson, Randy , 29thTillery, Blake , 19thAlbers, John , 56th",https://www.legis.ga.gov/legislation/66542
SB 434,"Glascock County; board of elections and registration; create
Status: 05/06/2024 - Senate Date Signed by Governor",House Committee:Intragovernmental CoordinationSenate Committee:State and Local Governmental Operations,"Burns, Max , 23rd",https://www.legis.ga.gov/legislation/66543
SB 435,"Infrastructure and Community Development Act'
Status: 01/31/2024 - Senate Read and Referred",Senate Committee:Regulated Industries and Utilities,"Ginn, Frank , 47thGooch, Steve , 51stStill, Shawn , 48thButler, Gloria , 55thMallow, Derek , 2ndBrass, Matt , 28th",https://www.legis.ga.gov/legislation/66546
SB 436,"Farm Use Vehicles; define a term
Status: 04/30/2024 - Senate Date Signed by Governor",House Committee:Motor VehiclesSenate Committee:Agriculture and Consumer Affairs,"Watson, Sam , 11thGoodman, Russ , 8thAnderson, Lee , 24thWalker, III, Larry , 20thGinn, Frank , 47thBurns, Max , 23rd",https://www.legis.ga.gov/legislation/66547
SB 437,"Department of Agriculture; enforce certain criminal laws; authorize
Status: 03/07/2024 - House Committee Favorably Reported By Substitute",House Committee:Agriculture & Consumer AffairsSenate Committee:Regulated Industries and Utilities,"Robertson, Randy , 29thKirkpatrick, Kay , 32ndWatson, Sam , 11thStrickland, Brian , 17thSims, Freddie Powell , 12th",https://www.legis.ga.gov/legislation/66548
SB 438,"Georgia Public Schools; to operate or facilitate separate teams for members of each gender where selection for such teams is based upon competitive fairness or student safety; authorize
Status: 02/01/2024 - Senate Read and Referred",Senate Committee:Education and Youth,"Summers, Carden , 13thKennedy, John F. , 18thGooch, Steve , 51stAnavitarte, Jason , 31stWatson, Ben , 1stAlbers, John , 56th",https://www.legis.ga.gov/legislation/66560
SB 439,"City of Atlanta; independent school district ad valorem taxes for educational purposes; provide
Status: 05/06/2024 - Senate Date Signed by Governor",House Committee:Intragovernmental CoordinationSenate Committee:State and Local Governmental Operations,"Esteves, Jason , 6thOrrock, Nan , 36thHalpern, Sonya , 39thParent, Elena , 42ndMcLaurin, Josh , 14thDavenport, Gail , 44th",https://www.legis.ga.gov/legislation/66562
SB 440,"Accelerated Career Diploma Program'; ACE Grants pilot program; establish and provide
Status: 05/02/2024 - Senate Date Signed by Governor",House Committee:EducationSenate Committee:Education and Youth,"Brass, Matt , 28thParent, Elena , 42ndDixon, Clint , 45thButler, Gloria , 55thWilliams, Rick , 25thSims, Freddie Powell , 12th",https://www.legis.ga.gov/legislation/66563
SB 441,"Controlled Substances; notification requirements for prescribers prescribing opioids; revise
Status: 02/01/2024 - Senate Read and Referred",Senate Committee:Health and Human Services,"Merritt, Nikki , 9thEsteves, Jason , 6thJones II, Harold , 22ndJackson, Kim , 41stHalpern, Sonya , 39th",https://www.legis.ga.gov/legislation/66564
SB 442,"State Health Planning and Development;  after a certain date, certificate of need requirements shall not apply to institutional health services; provide
Status: 01/31/2024 - Senate Read and Referred",Senate Committee:Regulated Industries and Utilities,"Lucas, David , 26thCowsert, Bill , 46thButler, Gloria , 55thDolezal, Greg , 27thBrass, Matt , 28thWatson, Ben , 1st",https://www.legis.ga.gov/legislation/66565
SB 443,"Abatement of Nuisances; inclusion of claims against promoters and organizers for costs incurred by local governments due to unpermitted events: provide
Status: 04/08/2024 - Senate Date Signed by Governor",House Committee:Judiciary Non-CivilSenate Committee:Public Safety,"Watson, Ben , 1stStrickland, Brian , 17thTillery, Blake , 19thBrass, Matt , 28thRobertson, Randy , 29thHickman, Billy , 4th",https://www.legis.ga.gov/legislation/66608
SB 444,"Alcoholic Beverages; retail dealers to offer discounts to consumers through premiums, coupons, or rebates; authorize
Status: 02/27/2024 - Senate Read Second Time",Senate Committee:Regulated Industries and Utilities,"Anavitarte, Jason , 31stGinn, Frank , 47thAlbers, John , 56thHarbison, Ed , 15thDixon, Clint , 45thLucas, David , 26th",https://www.legis.ga.gov/legislation/66609
SB 445,"Department of Education; provide to parents and guardians of students entering the sixth grade information regarding recommended adolescent vaccinations in print and electronic form; require
Status: 02/06/2024 - Senate Read and Referred",Senate Committee:Education and Youth,"Sims, Freddie Powell , 12thEsteves, Jason , 6thMerritt, Nikki , 9thMallow, Derek , 2ndAnderson, Tonya , 43rdSummers, Carden , 13th",https://www.legis.ga.gov/legislation/66611
SB 446,"Elections; period of advance voting; revise
Status: 02/06/2024 - Senate Read and Referred",Senate Committee:Ethics,"Williams, Rick , 25thBurns, Max , 23rdAnderson, Lee , 24thBeach, Brandon , 21stDolezal, Greg , 27thStill, Shawn , 48th",https://www.legis.ga.gov/legislation/66613
